fame_score,count
2,679
1,607
3,581
4,458
5,386
6,303
7,236
8,196
9,154
10,133
11,112
12,108
13,81
14,76
15,76
16,73
18,55
19,51
17,51
21,44
22,41
20,32
24,30
25,26
23,24
26,24
27,21
28,17
32,16
35,13
30,13
36,13
38,12
29,12
33,10
40,9
43,9
39,9
34,8
42,8
51,7
48,7
31,7
45,7
44,7
72,6
47,6
41,5
93,5
46,5
69,5
54,5
62,5
64,5
56,5
50,4
57,4
73,4
59,4
37,4
49,4
84,4
61,4
70,4
58,4
108,4
65,3
172,3
60,3
55,3
52,3
63,3
80,3
86,3
88,3
118,3
71,2
53,2
75,2
87,2
176,2
77,2
74,2
180,2
78,2
125,2
98,2
132,2
76,2
104,1
92,1
96,1
100,1
120,1
112,1
136,1
68,1
152,1
156,1
164,1
160,1
695,1
308,1
466,1
134,1
206,1
210,1
230,1
274,1
330,1
334,1
67,1
488,1
79,1
99,1
107,1
171,1
259,1
263,1
327,1
114,1
102,1
94,1
82,1
101,1
105,1
113,1
121,1
129,1
137,1
149,1
403,1
181,1
205,1
209,1
293,1
381,1
385,1
66,1
161,1
